codigo_ibge;cidade;capital;codigo_uf;Nascimentos;Creches_mun;Medicos_mun;POP_EST_2018;Regiao;latitude;longitude
1100015;Alta Floresta D'Oeste;0;11;216;1;5;23167;NORTE;-11.9283;-61.9953
1100023;Ariquemes;0;11;795;5;18;106168;NORTE;-9.90571;-63.0325
1100031;Cabixi;0;11;39;1;3;5438;NORTE;-13.4945;-60.552
1100049;Cacoal;0;11;754;5;20;84813;NORTE;-11.4343;-61.4562
1100056;Cerejeiras;0;11;128;2;4;16444;NORTE;-13.187;-60.8168
1100064;Colorado do Oeste;0;11;87;1;0;16227;NORTE;-13.1174;-60.5454
1100072;Corumbiara;0;11;63;1;3;7567;NORTE;-12.9551;-60.8947
1100080;Costa Marques;0;11;135;1;5;17855;NORTE;-12.4367;-64.228
1100098;Espigao D'Oeste;0;11;226;2;7;32047;NORTE;-11.5266;-61.0252
1100106;Guajara-Mirim;0;11;391;3;9;45783;NORTE;-10.7889;-65.3296
1100114;Jaru;0;11;414;7;14;51933;NORTE;-10.4318;-62.4788
1100122;Ji-Parana;0;11;1037;1;25;127907;NORTE;-10.8777;-61.9322
1100130;Machadinho D'Oeste;0;11;235;2;5;39097;NORTE;-9.44363;-61.9818
1100148;Nova Brasilandia D'Oeste;0;11;119;1;5;20459;NORTE;-11.7247;-62.3127
1100155;Ouro Preto do Oeste;0;11;302;6;12;36340;NORTE;-10.7167;-62.2565
1100189;Pimenta Bueno;0;11;321;4;8;36434;NORTE;-11.672;-61.198
1100205;Porto Velho;1;11;4101;37;66;519531;NORTE;-8.76077;-63.8999
1100254;Presidente Medici;0;11;158;1;6;19409;NORTE;-11.169;-61.8986
1100262;Rio Crespo;0;11;19;1;2;3723;NORTE;-9.69965;-62.9011
1100288;Rolim de Moura;0;11;441;3;12;54702;NORTE;-11.7271;-61.7714
1100296;Santa Luzia D'Oeste;0;11;54;1;4;6781;NORTE;-11.9074;-61.7777
1100304;Vilhena;0;11;747;0;0;97448;NORTE;-12.7502;-60.1488
1100320;Sao Miguel do Guapore;0;11;207;1;1;22931;NORTE;-11.6953;-62.7192
1100338;Nova Mamore;0;11;240;1;6;29757;NORTE;-10.4077;-65.3346
1100346;Alvorada D'Oeste;0;11;85;2;3;14722;NORTE;-11.3463;-62.2847
1100379;Alto Alegre dos Parecis;0;11;73;1;4;13227;NORTE;-12.132;-61.835
1100403;Alto Paraiso;0;11;127;1;5;20999;NORTE;-9.71429;-63.3188
1100452;Buritis;0;11;284;0;6;38937;NORTE;-10.1943;-63.8324
1100502;Novo Horizonte do Oeste;0;11;45;1;3;8751;NORTE;-11.6961;-61.9951
1100601;Cacaulandia;0;11;35;0;2;6190;NORTE;-10.349;-62.9043
1100700;Campo Novo de Rondonia;0;11;94;1;4;14009;NORTE;-10.5712;-63.6266
1100809;Candeias do Jamari;0;11;191;2;8;25983;NORTE;-8.7907;-63.7005
1100908;Castanheiras;0;11;22;0;2;3119;NORTE;-11.4253;-61.9482
1100924;Chupinguaia;0;11;96;1;8;10886;NORTE;-12.5611;-60.8877
1100940;Cujubim;0;11;134;1;3;24226;NORTE;-9.36065;-62.5846
1101005;Governador Jorge Teixeira;0;11;66;1;4;8095;NORTE;-10.61;-62.7371
1101104;Itapua do Oeste;0;11;53;1;2;10272;NORTE;-9.19687;-63.1809
